brands,code,height,image_url,kind,local_path,product_name,query,sku,source,source_title,source_url,target_name,width
,,1024,https://upload.wikimedia.org/wikipedia/commons/6/6e/Coca-Cola_in_Israel.jpg,shelf,C:/Users/erena/Desktop/ShelfLens/backend/data/candidate_photo_pack/shelf_candidates/01_file_coca_cola_in_israel_jpg.jpg,,,,Wikimedia Commons,File:Coca-Cola in Israel.jpg,https://commons.wikimedia.org/wiki/File:Coca-Cola_in_Israel.jpg,,1280
,,961,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Energy_drinks_bij_de_Albert_Heijn.JPG/1280px-Energy_drinks_bij_de_Albert_Heijn.JPG,shelf,C:/Users/erena/Desktop/ShelfLens/backend/data/candidate_photo_pack/shelf_candidates/03_file_energy_drinks_bij_de_albert_heijn_jpg.jpg,,,,Wikimedia Commons,File:Energy drinks bij de Albert Heijn.JPG,https://commons.wikimedia.org/wiki/File:Energy_drinks_bij_de_Albert_Heijn.JPG,,1280
,,960,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/HK_WTS_%E8%81%AF%E5%90%88%E9%81%93_Junction_Road_%E6%A8%82%E5%AF%8C%E5%95%86%E5%A0%B4_Lok_Fu_Place_mall_%E7%99%BE%E4%BD%B3%E8%B6%85%E7%B4%9A%E5%B8%82%E5%A0%B4_ParknShop_supermarket_December_2020_SSG_12.jpg/1280px-HK_WTS_%E8%81%AF%E5%90%88%E9%81%93_Junction_Road_%E6%A8%82%E5%AF%8C%E5%95%86%E5%A0%B4_Lok_Fu_Place_mall_%E7%99%BE%E4%BD%B3%E8%B6%85%E7%B4%9A%E5%B8%82%E5%A0%B4_ParknShop_supermarket_December_2020_SSG_12.jpg,shelf,C:/Users/erena/Desktop/ShelfLens/backend/data/candidate_photo_pack/shelf_candidates/04_file_hk_wts_junction_road_lok_fu_place_mall_parknshop_supermarket_december_2020_ssg_12_jpg.jpg,,,,Wikimedia Commons,File:HK WTS 聯合道 Junction Road 樂富商場 Lok Fu Place mall 百佳超級市場 ParknShop supermarket December 2020 SSG 12.jpg,https://commons.wikimedia.org/wiki/File:HK_WTS_%E8%81%AF%E5%90%88%E9%81%93_Junction_Road_%E6%A8%82%E5%AF%8C%E5%95%86%E5%A0%B4_Lok_Fu_Place_mall_%E7%99%BE%E4%BD%B3%E8%B6%85%E7%B4%9A%E5%B8%82%E5%A0%B4_ParknShop_supermarket_December_2020_SSG_12.jpg,,1280
,,1707,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Soda_bottle_shelf.jpg/1280px-Soda_bottle_shelf.jpg,shelf,C:/Users/erena/Desktop/ShelfLens/backend/data/candidate_photo_pack/shelf_candidates/06_file_soda_bottle_shelf_jpg.jpg,,,,Wikimedia Commons,File:Soda bottle shelf.jpg,https://commons.wikimedia.org/wiki/File:Soda_bottle_shelf.jpg,,1280
,,960,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Sodas.JPG/1280px-Sodas.JPG,shelf,C:/Users/erena/Desktop/ShelfLens/backend/data/candidate_photo_pack/shelf_candidates/08_file_sodas_jpg.jpg,,,,Wikimedia Commons,File:Sodas.JPG,https://commons.wikimedia.org/wiki/File:Sodas.JPG,,1280
